가까운		① (親한)intima, proksima, familiara. ～ 이웃 proksima najbaro. ② (거리가-)proksima. ～ 곳 najbaraĵo. …로부터 ～곳에 proksime (najbare) de…. ～에 있는 najbara. ～ 장래에 post nelonge.
가까움		proksimeco.
가까워지다		① (al)proksimiĝi. ② (사람사이가-)amikiĝi, intimiĝi. ③ (서로-)interproksimiĝi.
가까이		proksime. ～ 감 aliro. ～ 갖다 놓다 kunŝovi. (…로)～ 걸어가다 alpaŝi. ～ 못 오게 하다 forteni. ～에 <전치사> ĉirkaŭ, apud. ～에 apude. (밀어서-)～ 오게 하다 alŝovi. ～ 있는 apuda. ～ 하다 ㉠proksimigi. ㉡havi kontaktiĝon kun….
가꾸다		① (재배)kultivi, kulturi. ②<원예> (가지 따위를-)stuci. ③ (돌보다) (pri)zorgi.
가끔		① (때때로)foje-foje ; de tempo al tempo. ② (드물게)malofte.
가나안		(지역)   <성서> Kanaano. ～의 후예 kanaanido.
가난		malriĉeco.
가난뱅이		①malriĉulo. ②<비유> pedikulo. ～처럼 ㉠malriĉe. ㉡kiel malriĉulo. ～하게 malriĉe. ～하게 하다 malriĉigi.
가난한		①malriĉa. ②senhava. ③ (너무-)magra. ④<비유> kompatinda. ⑤<시문> povra. ⑥necesbezona. ⑦senmona.
가내		(家內)   familio.
가냘픈		①delikata. ②subtila. ③svelta. ④ (병약한)gracila.
가누다		①apenaŭ moviĝi. ②apenaŭ sin regi.
가느다란		①maldika. ② (실같이-) fadeneto da; maldika kiel fadeno. ～ 줄기의 물 fadeneto da akvo. ③ (털같이-)kapilara. ④<시문> minca. ⑤subtila.
가는귀먹은		duonsurda.
가늠구멍		①<군사>celfendo. ② (조준기의-)rigardilo, rigardtruo.
가늠쇠		celgrajno. ～구멍 paftruo, embrazuro.
가늠자		<군사> celilo.
가늠하다		①→겨냥하다. ② (판단, 어림)juĝi, distingi, taksi. 정세를 ~ juĝi la progreson de la situacio.
가능		(可能)   eblo. ～성 (性) ebleco. ～하게 하다 ebligi. ～하다 eble estas. ～한 ebla. ～한 것 eblo. ～한 경우에 eble, eventuale. ～한대로 laŭeble. ～한 수단 eblo. ～한 한 (限) kiel eble plej, laŭeble.
가다		①iri. ☞ paŝi. 가로질러 ～ trairi. 거슬러～ inversiri. (둥글게)돌아～ rondiri. 되돌아 ～ reiri. 두 번 ～ reiri. 뒤로 ～ retroiri. 뒤에서 ～ postiri. (…을)따라서 ～ laŭiri. (걸어서)먼 길을 ～ vojiri. 멀리 ～ foriri. (우회하여)빙 둘러 ～ ĉirkaŭiri. 앞서서 ～ antaŭiri. 앞으로 ～ antaŭeniri. 옆으로 비켜서 ～ flankeniri. 잘못～ misiri.　② (···을 타고-)veturi. ③ (…로-)alveturi. 대회 (大會)에 ～ alveturi kongreson.　가게하다 ①irigi. ② (사람․기계 따위를-) direkti. ☞ stiri. ③envojigi. 가기 iro. 가기 시작하다 ekiri. 갈 수 없는 ne (al)irebla. (길이-)갈 수 있는 (al)irebla. 어렵게 가다 (진행하다) sin tiri. 가보면 알아 Venu kun mi, kaj vi ekscios. 갈 사람은 가고 있을 사람은 있으라 ironto iru kaj restonto restu.
가다듬다		① (마음)trankviligi la koron. ② (목청)klarigi (beligi) la voĉon.
가다랭이		bonito. ～ 무리 sardo*.
가닥		①fadenero. ②ŝnurero. (철사 등의)두 ～의 bifilara. 한 ～의 희망 fadenero da espero. (문제해결의) ~을 잡다 kapti la fadenon (por solvi problemon).
가담		(加擔)   ①partpren (ad)o. ～하다 partopreni. ②<법률>kompliceco. ～하다 aliĝi.
가당		(可當)한   ①prava. ②konvena (al io).
가도		(街道)   ①avenuo. ②strato.
가돌리늄		<화학> gadolinio.
가동		(稼動)   startigo (funkciigo, irigo) de maŝino. ～율 (率) proporcio de funkciigo.
가동관절		(可動關節)   diartrozo*.
가동성		(可動性)   movebleco.
가두		(街頭)   strato. ～판매점 kiosko. (假痘)   varioloido.
가두다		①enŝlosi. ②enfermi. ③ (감옥에-) enprizonigi; meti en malliberejon (prizonon).
가두리		rando, randaĵo. ~ 양식장 enfermita bredejo (kulturejo).
가드레일		①gard-relo. ②parapeto de kruta vojo.
가득		차다 ①pleniĝi. ②saturiĝi. 찬 ①plena. (사람․짐으로)～ 마차 plenĉaro. ②saturita. ③ĉioma. 채우다 ①plenigi. ② (추상적인 것․호기심 따위로-)saturi. ③ (만두소 따위를-)farĉi.
가득한		①plena. ～ 잔 plentaso, plena taso. ～ 숟갈의 plenkulero da. ②<비유> graveda. 가득하다 pleni, esti plena. 가득히 ①plene. ② (잔 따위에-)ĝisrande.
가뜩이나		①krome. ②jam estas tre -a (sen tio). (그렇지 않아도) ～ 피곤한데 mi jam estas tre laca (sen tio). ③aldone al tio.
가뜬한		malpeza kaj agrabla.
가라사대		kiel (sanktulo, saĝulo) diras…. 예수 ~ kiel Jesuo diras,
가라앉게		하다 (물에-) mergi.
가라앉다		①sinki. ② (물에-) mergiĝi. ③malleviĝi. ④ (부푼 것이-)malŝveli. ⑤ (마음이)kvietiĝi, trankviliĝi. 가라앉히다 ① (마음-) kvietigi, serenigi. ② (슬픔을-) konsoli. ③ (감정을-)regi. 자기의 흥분을 (감동을) ～ regi sian eksciton (emocion). ④ (마음을-)luli. ⑤<지질, 화학>deponi. ☞ precipiti.
가라오케		muzikskatolo.
가라지		①<성서>=독보리. ②=강아지풀.
가라테		<운동> karateo.
가락1		① (음악)melodio. ② (솜씨) lerteco, sperto.
가락2		①ŝpinilo. ②spindelo.
가락지		(fingro)ringo.
가랑눈		neĝeto.
가랑니		pedikido.
가랑비		pluveto.
가랑이		membroforko. 길이 ～져 있다 vojo forkiĝas. ～를 벌리다 malfermi (apartigi) la krurojn.
가랑잎		falinta (velkinta) folio.
가래1		ŝpato, fosilo. ～날 soko.
가래2		<의학> pituito.
가래3		①<생리> mukaĵo. ～가 끓다 graki. ～가 나오는 기침 muktuso. ～를 뱉다 sputi mukaĵon. ～침을 뱉다 ekspektori, tuskraĉi. ② (내뱉은-)kraĉo, kraĉaĵo. ～를 뱉다 (토하다) kraĉotusi.
가래톳		<의학> bubono.
가량		(쯤)ĉirkaŭ, preskaŭ.
가려내다		①malmiksi．②selekti.
가련한		①kompatinda. ②<시문> povra.
가렵다		juki.　가려움 juko, jukado. 가려움병 prurito.
가령		(假令)   ①ekzemple, por ekzemplo. ②supozante, ke... (家令)   ĉambelano.
가례		(家禮)   etiketo de familio.
가로		(街路)   strato. ～등 (燈) stratlanterno, ～등 기둥 lanterna kolono. 지름대 ①transtrabo. ②<조선> balanciero.
가로[橫]의,		가로놓인   ①horizontala. ②transversa. ③laŭlarĝa.
가로대		① (의자 따위의-)rungo. ② (물 지개의-)vekto.
가로막다		① (길을-)bari. ②bloki. ③obstrukci. ④ŝtopi.
가로맡다		①interveni. ②sin enmiksi.
가로변		(街路邊)의   ①apudvoja. ②apud-strata.
가로새다		(ŝtele)   forkuri.
가로수		(街路樹)   apudvoja (apudstrata) arbo. ～길 avenuo, bulvardo.
가로쓰기		horizontala skribado.
가로줄		무늬 <문양> lambelo.
가로지르다		transiri.
가로질러		transverse (de…), laŭlarĝe (de…).
가로채다		① (횡령하다)uzurpi. ②proprigi al si. ☞ akapari.
가로퍼지다		① (뚱뚱해지다) dikiĝi, grasiĝi. ② (널리 퍼지다)etendiĝi, disvastiĝi.
가뢰		→ 남가뢰.
가루		① (곡식의-)faruno. ～음식 farunaĵo. ～의 faruna. ②polvo. ～로 만들다 polvigi. ③pulvoro. ～가 된 pulvora. ～가 된 상태 pulvoreco. ～로 만들다 pulvorigi. ～를 뿌리다 surpulvorigi. ～비누 lavpulvoro. ～설탕 pulvorsukero. ～의 pulvora. 금 (은) ～ pulvoro de oro (arĝento). 무엇을 ～가 되기까지 박살내다 disfrakasi ion ĝis pulvoreco. 설탕을 ～로 만들다 pulvorigi sukeron. 후추～ pulvoro de pipro. ～반죽 과자 flano.
가루받이		polenado. ～시키다 poleni.
가르다		① (나누다)dividi. ☞ disduigi, fendi. ②partigi. ③ (둘로-)dislimi. ④ (물살을) dismeti. ⑤ (배가 물을-)tranĉi.
가르치다		①instrui. ②lernigi ③ (깊고 자세히-)erudi. ☞ klerigi. ④doni lecionon. 가르칠 수 없는 ①needukebla. ②neinstruebla. 가르침 ①instruo. ②leciono.
가리		(더미)amaso, stako.   노적～ stako de rikoltaĵo.
가리가리		en pecojn. ～찢다 ŝiri en pecojn.
가리다1		①kovri. ②ŝirmi. ③kaŝi. ④ (보지 못하게)vuali. 가리는 것 ŝirmilo. ※병풍, 발, 휘장, 방패, 방어물 따위. 가려 숨기다 kovri. (죄 따위를)가려주다 kovri. 가려진 ŝirmita.
가리다2		(선택하다)   elekti, selekti.
가리다3		(낯을-)   esti timida (timema).
가리마		hardislimo. ～ 타다 dislimi.
가리비		<패류> jakoba pekteno.
가리키다		①montri. 북쪽을 ～ montri la nordon. ☞ gesti. ②indiki. 가리키는 montra.
가림막		①ĉirkaŭbarilo. ②ŝrirmilo, kaŝilo, kovrilo. 영: fence. ☞ 울타리.
가마1		(도기 굽는-)   muflo.
가마2		(사람이 타는-)   ①portlito, portseĝo. ②palankeno. ～채 timono. ～꾼 palankenportisto.
가마3		(정수리의-)   vortico de haroj.
가마귀		→ 까마귀.
가마니		pajlsako.
가마솥		kaldrono.
가마우지		<조류> ①hidrokorako. ②kormorano. ③mara korvo.
가막사리		<식물> bidento.
가막살나무속		(屬)   viburno.
가만두다		①lasi (iun, ion) sola. ②lasi, kiel ĝi (li／ŝi) estas.
가만히		① (꼼짝 않고-)senmove. ② (조용히)silente, trankvile, kviete, mallaŭte. ③ (살그머니)kaŝe, ŝtele, nerimarkite, sekrete. ④ (노력 없이)senfare, nenion farante.
가망		(可望)   ① (희망)espero. ② (가능성) ebleco. ③<비유> perspektivo. ～성이 없는 senperspektiva. ④promeso.
가맹		(加盟)   ①aliĝo. ②kuniĝo.
가면		(假面)   ①masko. ～무도회 ㉠maskbalo. ㉡ (옛날의-)reduto. ㉢maskerado. ☞ pieroto, arlekeno, domeno. ～쓴 사람 maskito. ～을 벗기다 senmaskigi. ～을 써서 숨기다 maski. ～을 쓰고 sub la masko. ～을 쓰지 않고 senmaske. ～을 씌우다 maski. ②kovro. ③<비유> vualo. ～을 벗기다 senvualigi. ～을 쓰지 않은 senvuala. ④<비유> mantelo.
가명		(假名)   ①kaŝnomo. ②pseŭdonimo. ③plumnomo.
가무		(歌舞)   kanto kaj danco.
가문		(家門)   ①domo. 귀족의 ～ domo de nobelo. ②origino. 귀족의 ～ nobela origino. ☞ deveno. 좋은 ～ 출신의 altedevena. ③raso. 같은 ～에 속하다 aparteni al sama raso. ☞ gento, sango, semo. ④familio. ～의 영예 familia honoro.
가문비		(나무)   piceo.
가물		→ 가뭄, ①senpluveco. ②sekeco.
가물가물하다		① (작은 불빛이-) malheliĝi. ② (보일 듯 말 듯-)nebuliĝi, malklariĝi. ③ (기억이-)nedistingiĝi.
가물거리다		(등불이-)   flagreti.
가물다		esti seka.
가물들다		eniri en sekecon (senpluvecon).
가물치		mugilo.
가물타다		suferi de senpluveco.
가뭄		①senpluveco. ②sekeco.
가미		(加味)하다   ①gustigi. ②spici.
가발		(假髮)   ①peruko. ～ 제조인 perukisto. ②postiĉo.
가방		① (서류-)teko, paperujo. 가죽 ～ leda teko. ②sako. ③ (여행용-)valizo, vajaĝsako. ☞ kofro.
가버나움		Kapernaumo.
가벼운		①malpeza, leĝera. ② (죄가-)indulginda, pardonebla, veniala, malpeza. ～ 실수 (죄) veniala eraro (peko). ③<의학> (증세가-)benigna. ～ 쾌감을 주다 <비유> tikli. 가볍게 malpeze. (무게․마음을)～ 하다 malpezigi.
가병		(假病)   simulado.
가보		(家寶)   familia trezoro.
가보트		gavoto. ※프랑스 춤.
가봉		(假縫)하다   duonkudri.
가봉공화국		<지리> Gabono.
가부		(可否)   ① (옳고 그름)pravo aŭ malpravo. ② (찬성과 반대)por aŭ kontraŭ. ③ (긍정과 부정)jes aŭ ne.
가부장		(家父長)   → 가장 (家長)
가분수		(假分數)   maldeca frakcio.
가불		(假拂)   ①antaŭpago. ② (-금) antaŭspezo.
가뿐한		(taŭge)   malpeza.
가쁘다		① (숨차다)spiregi. ② (힘에 겹다) tro penigi.
가사		(歌詞)   (노래의-) teksto. (假死)   ①asfiksio. ②lipotimio. ～ 상태 ŝajna morto. (家事)   ①hejmlaboro. ②mastr (um)aĵo. ～의 mastruma. ～를 돌보다 mastrumi. (袈裟)   surpliso.
가산		(家産)   familia hav (aĵ)o (posedaĵo). (加算)하다   ①adicii. ②alkalkuli.
가산법		(加算法)   adicio. ☞ sumo.
가살		떨다 (-부리다) agi abomene.
가상		(假像)   pseŭdomorfozo*. (假想)   ①supozo. ②imago. ～적인 supoza. ～하다 supozi, imagi. (嘉尙)   bona kaj merita. (누구를)～히 여기다 opinii iun bona kaj merita.
가새지르다		fari tondil-formon.
가새표		(-票)   kontrol-signo.
가새풀		①alkemilo, alĉemilo． ②dammantelo.
가설		(假說)   ①<철학> hipotezo. ～을 세우다 hipotezi. ②<수학> postulato. ③supozo. ～을 세우다 supozi. (架設)   ①instalo. (기계 따위의)～자 (者) instalisto. ～하다 instali. ② (천막의-)muntado. ～하다 munti. ③konstrui.
가성		(假聲)   <음악> falseto.
가성소다		<화학> natro. ☞ sodo.
가성칼리		<화학> potaso.
가세		(家勢)   ①financa stato (kondiĉo) de familio. ②familia cirkonstanco. ③hejmekonomio. (加勢)하다   ①helpi. ②subteni.
가소		(可笑)로운   ①ridinda. ②mokinda. ③komika.
가소성		(可塑性)   plasteco. 　～의 plasta.
가소재		(可塑材)   <화학> plasto.
가속		(加速)하다   akceli. 엔진의 속도를 ～ akceli la peladon de motoro.
가속기		(加速器)   akcelilo. ～를 밟다 premi akcelilon.
가솔		(家率)   familia membro.
가솔린		<화학> benzino.
가수		(歌手)   kantist (in)o. 국민 (國民) ～ nacia kantist (in)o. (假數)   <수학> mantiso.
가수분해		(加水分解)   hidrolizo. ～하다 hidrolizi.
가스1		(腸內의-)   ①gaso. ②vento. (藥이 내장으로부터)　～를 배출하는 karminativa, kontraŭgasa.
가스2		(화산의-)   fumarolo*.
가스3		gaso. ～ 계량기 gasmetro, gaskomputilo. ～공장 공원 (工員) gasisto. ～관 (管) gasodukto. (레인지, 버너의)～구멍 gasbeko. ～등 (燈) ㉠gaslampo. ㉡ (땜질 인두를 달구는-)lutlampo. ～라이터 gasflamigilo. ～ 레인지 gasa kuirforno. ～ 맨틀 mufo. ～ 발생기, ～발생로 (發生爐) gasgeno. ～엔진 gasmotoro. ～ 저장소 gasrezervujo. ～ 주둥이 flamingo, gasbeko, gaskrano. ～탱크 gasujo. ～통 (가정・산업용의 철제-) gasbotelo. ～풍로 gasfornelo, primuso. ～화구 (火口) gasbeko. 도시～ urba gaso.
가스러지다		① (성질이)fariĝi neregebla (malmilda). ② (잔털이-) hirtiĝi.
가스코뉴지방		Gaskonio, Gaskonujo. ～ 사람 gaskono.
가슴		①brusto. (여성의)～둘레 mammezuro, brusta perimetro. ～받이 kiraso. (짐승의) ～부위 고기 brustaĵo. ～뼈 brustosto, (새의)karino. ②<해부>koro. ～을 에는 korpremi. ～을 찢다 (아프게 하다) korŝiri. ～을 아프게 하는 korŝiranta. ③sino. 옷 ～부분 sino.
가슴걸이		(말안장의-)   martingalo.
가슴앓이		<의학> pirozo.
가습기		(可濕器)   ①vaporigilo. ②humidigilo.
가시		①<식물>dorno. ～가 많은 dorn (oplen)a. ～덤불, ～밭 dornoarbetaĵo dornejo. 육체의 ～ <비유> dorno. ②pikilo, pikaĵo. ③ (생선의-)osto.
가시거리		(可視距離)   vedebla distanco.
가시광선		(可視光線)   videbla radio.
가시권		(可視圈)   servareo.
가시금작화		<식물>ulekso, uliko.
가시남천		(매자나무科)   mahonio.
가시다		(물로-)   tralavi.
가시덤불		①vepro. ～을 뽑아내다 senveprigi. ～지역 (에 사는 사람) veprejo (veprejano). ②arbetaĵo.
가시랭이		aristo.
가시복		<동물> diodonto.
가시적		(可視的)인   videbla (per okuloj).
가시철망		pikdrato.
가시화		(可視化)되다   ①fariĝi videbla; videbliĝi. ② (구체화)konkretiĝi.
가식		(假飾)   ①afekto. ～하는 사람 afektulo. ～없는 senafekta. ☞ naiva. ～이 없음 senafekteco, nudeco. ～적인 표현 afektita patoso. ～하다 afekti. ②hipokritado. ③ŝajnigado. ④maskumado. (假植)하다   (나무를-) ĵosi.
가신		(家神)   <로마신화> Penatoj. (家臣)   ①omaĝulo. ②vasalo.
가십(gossip)		klaĉo; klaĉi (험담․쑥덕공론하다)
가야금		(伽倻琴)   gayagum (korea harpo).
가약		(佳約)   (ĵur)promeso por geedziĝo. 백년 ～을 맺다 ㉠geedziĝi. ㉡fariĝi edzo kaj edzino.
가얌		→ 개암나무
가업		(家業)   familia profesio (okupo).
가없다		esti senlima.
가에		(···가에)   ĉe. ※닿을 만큼 가까운 거리에.
가여운		①kompatinda. ②mizera. ~ 놈 ㉠kompatinda homo. ㉡ulaĉo.
가역성		(可逆性)의   returnebla.
가연성		(可燃性)의   ①bruliva. ②brul (ig)ebla,
가열		(加熱)①hejtado, varmigado.   ②<물리> kalefakcio.
가엽게		여기다 kompati.
가오리		<어류> rajo. ☞ ŝarko.
가옥		(家屋)   ①domo. ②konstruaĵo. ～관리인 ekonomo. ～대장 (臺帳) doma registrolibro. ～세 (稅) doma imposto. ～의 일부를 세들다 viclui.
가외		(加外)의   ①supernombra. ②ekstra. ③superflua.
가요		(歌謠)   kanto. ～제 (祭) kantofestivalo.
가용		(加用)의   uzebla. ~ 인력 (人力) uzebla homforto.
가용성		(可溶性)   ①solvebleco. ②degelebleco.
가우스		<물리> gaŭso.
가우초		gaŭĉo. ☞ vakero.
가운		①kitelo. 간호사 (고기 파는 사람) 의 ～ kitelo de flegistino (viandovendisto). ② (이발소 등에서 손님에게 입히는)pudrmantelo. (家運)   familia sorto.
가운데		① (중간)mezo. ② (중앙) centro, kerno, sino. ～에 ㉠ (중간에)meze de. ㉡ (…사이에)inter. (과정)   ① (…하는 동안)dum. ② (…할 때, …하면서)kiam….
가웃[半]		kaj duono. 석 자[尺] ～ tri futoj kaj duono.
가위1		tondilo. ～로 자르다 tondi. ～질 tondado. ～질하여 다듬다 pritondi. 장미나무를 ～질하여 다듬다 pritondi rozujon. (철판・양철을 자르는)큰～ ĉizojo. 큰～로 자르다 ĉizoji.
가위2		(악몽)   inkubo. ～에 눌리다 havi inkubosonĝon.
가위3		(可謂)   ①vere. ②laŭdire.
가위바위보		ludo de “roko-papero-tondilo”. *Rok'-paper'-tondil'! (angle: Rock-scissors-paper)
가위표		(엑스표:X)   ikso-marko.
가을		aŭtuno. ～걷이 rikolto, rikoltado. 초～ frua aŭtuno.
가이드		(안내원)   ①gvidisto, gvidanto. ② (관광)ĉiĉerono.
가이드라인		①(안내밧줄)gvida ŝnuro (kablo), gvidlinio.②(지침)gvida principo, instrukcio.
가인		(佳人)   ①belulino. ②graciulino. (家人)   ①domano. ②familiano.
가일		(佳日)   bona (gratulinda, feliĉa) tago.
가일층		(eĉ)   pli
가입		(신청)서   aliĝilo.
가입시키다		aligi.
가입하다		①aliĝi. ② (무리에 합류하다)alkolektiĝi. ③aniĝi. 클럽에 ～하다 aniĝi al klubo.
가자미		<어류> plateso. ～의 일종 pleŭronekto, rombo, platfiŝo. 작은～ limando.
가작		(佳作)   ① (좋은 작품)bona verko (laboraĵo). ② (等外작품) eksterpremia verko. ～상 honora mencio (premio).
가장		(家長)   ①familiestro. ～의 patriarka. ② (주인)mastro. ③<성서> (대가족의-)patriarko. (假裝)   ①ŝajnigo, ŝajnigado. ～무도회 kostumbalo, maskobalo. ～하는 ŝajniga. ～하는 미소 ŝajniga rideto. ～하다 ŝajnigi. ～행렬 maskerado. 경건을 ～하여 sub ŝajno de pieco. ～하지 않고 senmaske. ②pretendo. ～하다 pretendi. ☞ afekti. ③<비유> komedio. ④hipokritado. ⑤ (목소리・필적 따위를-)vestmaski. ⑥travestio. ～시키다 travestii. (최상급)   <부사> la plej. ～ 예쁜 la plej bela. ～ 깊은 부분 ㉠la plej profunda parto (loko). ㉡fundo. ～ 나쁜 부분 (층) <비유> surfundaĵo. (어떤 물건의-)～ 높은 부분 kapo. ～ 바깥쪽의 ekstrema. ～ 빈번하게 plejofte. ～ 빈번한 경우에 pleje. ～ 아름답고 빛나는 부분 (시기) <비유> floro. ～ 적게 malplej. ～ 적은 plejmalmulta. ～ 중요하다 ㉠esti la plej grava. ㉡superregi. ～ 큰 la plej granda. 자신의 ～ 사랑하는 사람 sia plejamanto.
가장자리		①rando. ☞ eĝo. ～가 예리한 akraranda. ～까지 ĝisrande. ～를 고르게 자르다 randegaligi. ～를 너덜너덜하게 찢다 ĉirkaŭŝiri. ～를 장식하다 borderi. ～를 따라가다 randiri. (의복・모자 따위의-) ～장식 bordero, borderaĵo. ～ 장식 randaĵo, flanĝo. ②marĝeno. (제본할 때)～를 자르다 marĝentranĉi. ③akraĵo. ④randumo. ⑤borduro*.
가재		①kankro. ～는 게 편이다 kankro favoras al krabo (similaĵo tiras similaĵon). ②astako. ～집게발 kankra pinĉilo. ③marleono.
가전제품		(家電製品)   elektraj hejm-aparatoj.
가정		(家庭)   ①hejmo. ～경제 hejma ekonomio. ～교사 guvernisto. ～부 (婦) mastrumistino. ～에 hejme. ～용 기구들 mastrumaj aparatoj. ～의 (醫) familia kuracisto. ～의 ㉠hejma. ㉡mastruma. ～적 (的)인 ㉠hejmeca. ㉡malfremda．～적인 사람 familiulo. ～주부 dommastrino. ～환경 familia medio. ②<비유> penato. ～으로 돌아오다 reveni al penato. ③<비유>nesto. (家政)   (dom)mastrumado. (假定)   ①<철학>hipotezo. ～하다 hipotezi. ②supozo. (…라는)～으로 se. ～의 supoza. (미리)～하다 antaŭsupozi. ～하다 supozi. …라고 하는 ～ 하에 supoze, ke…. 만일 …라고 ～하면 se supozi, ke…. 모든 경우를 ～하여 ĉiusupoze. <수학> postulato.
가정법		(假定法)   fiktiva modo; kondicionalo. ～어미 -us.
가제		①gazo, mulmuslino. ② (상처 구멍에 넣는-)meĉo, tampono.
가제식		(可除式)   aldonebla (kaj forigebla). ～ 노트 notbloko. ～ 도서 (圖書) ringolibro.
가젤		<동물> gazelo. ～양처럼 온화한 눈을 가진 gazelokula. <예술> gazalo. ※페르시아・아라비아 사람들의 시 (詩).
가져가다		① (for)preni. ② (…에서-)depreni. ③ (for)porti. 가져가서 자기 것으로 하다 posedpreni.
가져오다		(…로-)   alporti (al…). 이익을 (손실을) ～ alporti profiton (perdon). 다시 ～ reporti.
가족		(家族)   familio. ～의 familia. ～의 일원 (식구) familiano. ～처럼 친한 familiara. ☞ intima. ～소설 <비유> sagao. ～수당 ㉠supersalajro. ㉡kromsalajro por familio. ～적 경영 paternalismo. ～제도 familia sistemo.
가종피		(假種皮)   <식물> arilo.
가죽		①ledo. ～구두 ledŝuo. ～끈 (alliga) rimeno. 말을 매는 ～띠 ㉠ledzono. ㉡rimeno. ～띠로 때리다 elvipi. ～띠로 묶다 laĉegi. ～부대 felsako. (아메리카 인디언의)～신발 mokaseno. ～으로 만든 혁대 (가방, 지갑) leda zono (paperujo, monujo). ～으로 제본된 ledbindita. (짐승의) ～을 벗기다 senfeligi. ～제조공장 ledejo. ～채찍 piedinga rimeno. ～표면을 오톨도톨하게 하다 ŝagrini. 나무로 창을 댄 ～ galoŝo. 면도날을 가는 ～띠 razrimeno. 쇠～ bovledo. ② (짐승의-)haŭto. ～을 벗기다 senhaŭtigi. ～이 두꺼운 dikhaŭta. ③ (영양・염소의 부드러운-) ŝamo. ～을 무두질하다 ŝamigi. ④ (모피)pelto. ～상 (商) peltisto.
가죽나무		<식물> ailanto.
가중		(加重)   plipezigo. ～처벌 plipeziga puno.
가증		(可憎)한   ①malaminda. ②abomeninda. ③naŭza.
가지1		(나무-)   branĉo. ～가 많은 branĉoriĉa. ～를 치다 debranĉigi. (길 따위가)～처럼 갈라지다 disbranĉiĝi. (나무에서)～를 치다 ㉠senbranĉigi. ㉡trunki. 어린～ ㉠branĉido, juna (nova) branĉo. ㉡ŝoso. ～없는 줄기 stipo. 줄기～ volvobranĉo, volvotigo. 작은 ～ sprono.
가지2		(먹는-)   <식물> ①melongeno. ②solano. ～과 (科) solacoj. (남미의)～과식물 cestro.
가지3[支流]		brako. ※팔처럼 옆으로 뻗어 나온 어떤 물건의 부분. 강 (江)의 옆 ～ brako de rivero. ☞ branĉo.
가지4		① (종류)speco. ②klaso. ～가지의 divers (spec)a, varia.
가지고		<전치사> ①kun. ②per. ～ 가다 porti. ～ 다니다 ㉠kunpreni. ㉡kuntreni. ～ 들어가다 enporti. ～ 있다 posedi.
가지다		①havi. ②preni. ③teni. ④ (소유)posedi.
가지런한		①regula. ②orda. ③unuforma. 가지런하게 놓다 ①aranĝi. ②ordometi, ordigi.
